Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,1.4,2.0,Hai phương pháp gần nhau.
cross-doc,Faithfulness,1.8,1.8,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,1.2,2.2,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
cross-doc,Latency (s),4.802,5.946,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,933.6,729.2,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,1.0,1.0,Hai phương pháp gần nhau.
factoid,Faithfulness,1.0,5.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
factoid,Multi-hop reasoning,1.0,5.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
factoid,Latency (s),0.918,0.82,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,747.0,608.0,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,1.0,1.0,Hai phương pháp gần nhau.
multi-hop,Faithfulness,1.0,1.0,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,1.0,1.0,Hai phương pháp gần nhau.
multi-hop,Latency (s),5.961,5.479,GraphRAG không đắt hơn trong sample này.
multi-hop,Token usage,917.0,807.5,GraphRAG không đắt hơn trong sample này.
